INFO 2024-05-22 11:30:54,656 autoreload Watching for file changes with StatReloader
DEBUG 2024-05-22 11:30:54,657 autoreload Waiting for apps ready_event.
DEBUG 2024-05-22 11:30:54,758 autoreload Main Django thread has terminated before apps are ready.
DEBUG 2024-05-22 11:30:54,760 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-05-22 11:30:54,796 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/db/models/fields/__init__.py first seen with mtime 1716375400.3056564
DEBUG 2024-05-22 11:30:54,797 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/asyncio/log.py first seen with mtime 1715025259.031844
DEBUG 2024-05-22 11:30:54,797 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/json/scanner.py first seen with mtime 1715025263.902609
DEBUG 2024-05-22 11:30:54,797 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/lib-dynload/_json.cpython-39-darwin.so first seen with mtime 1715025310.840504
DEBUG 2024-05-22 11:30:54,797 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/token.py first seen with mtime 1715025241.019129
DEBUG 2024-05-22 11:30:54,797 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/typing_extensions.py first seen with mtime 1716200364.00532
DEBUG 2024-05-22 11:30:54,797 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/db/migrations/operations/base.py first seen with mtime 1716375400.3013587
DEBUG 2024-05-22 11:30:54,797 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/core/checks/urls.py first seen with mtime 1716375400.274351
DEBUG 2024-05-22 11:30:54,797 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/urls/resolvers.py first seen with mtime 1716375400.336156
DEBUG 2024-05-22 11:30:54,797 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/http/request.py first seen with mtime 1716375400.3265364
DEBUG 2024-05-22 11:30:54,797 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/shutil.py first seen with mtime 1715025240.778237
DEBUG 2024-05-22 11:30:54,797 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/db/models/lookups.py first seen with mtime 1716375400.3038402
DEBUG 2024-05-22 11:30:54,797 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/logging/config.py first seen with mtime 1715025265.872621
DEBUG 2024-05-22 11:30:54,797 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/views/generic/list.py first seen with mtime 1716375400.3472834
DEBUG 2024-05-22 11:30:54,797 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/utils/html.py first seen with mtime 1716375400.3400908
DEBUG 2024-05-22 11:30:54,797 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/encodings/latin_1.py first seen with mtime 1715025261.376651
DEBUG 2024-05-22 11:30:54,797 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/template/library.py first seen with mtime 1716375400.3300033
DEBUG 2024-05-22 11:30:54,797 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/email/__init__.py first seen with mtime 1715025262.011004
DEBUG 2024-05-22 11:30:54,798 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/contrib/messages/api.py first seen with mtime 1716375400.1255677
DEBUG 2024-05-22 11:30:54,798 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/asyncio/coroutines.py first seen with mtime 1715025258.972579
DEBUG 2024-05-22 11:30:54,798 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/asgiref/__init__.py first seen with mtime 1716375399.6348436
DEBUG 2024-05-22 11:30:54,798 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/io.py first seen with mtime 1715025240.371101
DEBUG 2024-05-22 11:30:54,798 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/db/migrations/operations/models.py first seen with mtime 1716375400.3017187
DEBUG 2024-05-22 11:30:54,798 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/contrib/staticfiles/finders.py first seen with mtime 1716375400.2677662
DEBUG 2024-05-22 11:30:54,798 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/utils/dateparse.py first seen with mtime 1716375400.3383193
DEBUG 2024-05-22 11:30:54,798 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/email/headerregistry.py first seen with mtime 1715025262.192481
DEBUG 2024-05-22 11:30:54,798 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/lib-dynload/_opcode.cpython-39-darwin.so first seen with mtime 1715025310.480612
DEBUG 2024-05-22 11:30:54,798 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/template/base.py first seen with mtime 1716375400.3287473
DEBUG 2024-05-22 11:30:54,798 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/glob.py first seen with mtime 1715025240.293338
DEBUG 2024-05-22 11:30:54,798 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/email/mime/nonmultipart.py first seen with mtime 1715025262.353096
DEBUG 2024-05-22 11:30:54,798 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/template/utils.py first seen with mtime 1716375400.330705
DEBUG 2024-05-22 11:30:54,798 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/db/migrations/__init__.py first seen with mtime 1716375400.2987266
DEBUG 2024-05-22 11:30:54,798 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/asyncio/events.py first seen with mtime 1715025258.983288
DEBUG 2024-05-22 11:30:54,798 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/uuid.py first seen with mtime 1715025241.095127
DEBUG 2024-05-22 11:30:54,798 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/platform.py first seen with mtime 1715025240.569926
DEBUG 2024-05-22 11:30:54,798 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/templatetags/__init__.py first seen with mtime 1716375400.332446
DEBUG 2024-05-22 11:30:54,798 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/core/checks/__init__.py first seen with mtime 1716375400.272718
DEBUG 2024-05-22 11:30:54,798 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/db/migrations/migration.py first seen with mtime 1716375400.2998724
DEBUG 2024-05-22 11:30:54,798 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/forms/__init__.py first seen with mtime 1716375400.3102305
DEBUG 2024-05-22 11:30:54,798 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/operator.py first seen with mtime 1715025240.497334
DEBUG 2024-05-22 11:30:54,798 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/core/management/commands/__init__.py first seen with mtime 1716375400.2829149
DEBUG 2024-05-22 11:30:54,799 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/tokenize.py first seen with mtime 1715025241.026448
DEBUG 2024-05-22 11:30:54,799 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/asyncio/base_subprocess.py first seen with mtime 1715025258.884135
DEBUG 2024-05-22 11:30:54,799 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/core/files/uploadhandler.py first seen with mtime 1716375400.2770805
DEBUG 2024-05-22 11:30:54,799 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/encodings/utf_8.py first seen with mtime 1715025261.952962
DEBUG 2024-05-22 11:30:54,799 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/core/files/storage/memory.py first seen with mtime 1716375400.2787309
DEBUG 2024-05-22 11:30:54,799 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/re.py first seen with mtime 1715025240.691019
DEBUG 2024-05-22 11:30:54,799 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/db/models/aggregates.py first seen with mtime 1716375400.3021355
DEBUG 2024-05-22 11:30:54,799 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/db/backends/__init__.py first seen with mtime 1716375400.2893553
DEBUG 2024-05-22 11:30:54,799 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/wsgiref/util.py first seen with mtime 1715025265.947672
DEBUG 2024-05-22 11:30:54,799 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/views/generic/dates.py first seen with mtime 1716375400.3468485
DEBUG 2024-05-22 11:30:54,799 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/asyncio/protocols.py first seen with mtime 1715025259.051775
DEBUG 2024-05-22 11:30:54,799 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/middleware/cache.py first seen with mtime 1716375400.3271222
DEBUG 2024-05-22 11:30:54,799 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/email/errors.py first seen with mtime 1715025262.11534
